group,data_item,parcelz_tier,used_in_parcelz,use_case,authoritative_source,coverage_type,target_table,target_column,join_key,missingness_rule,related_etl_pipeline,etl_status,column_coverage_pct,parcel_join_coverage_pct,notes,present_count,missing_count,rows_total,measurement_note
Valuation & Comps,History Transaction,Tier 2,,"Display, Pro Forma, Comps",MLS + AVM,join,mls_sales,transaction_history,APN,any_related_row,,Not started,,0.00,,0,494142,494142,Join via mls_sales.transaction_history
Market Trends & Analytics,Median Price,Tier 1,,"Display, Pro Forma, Comps",MLS,join,market_analytics,median_price,market / tract,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Market Trends & Analytics,Avg Home Prices,Tier 1,,"Display, Pro Forma, Comps",MLS,join,market_analytics,avg_home_price,market / tract,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Market Trends & Analytics,Sale to List Price,Tier 1,,"Display, Pro Forma, Comps",MLS,join,market_analytics,sale_to_list,market / tract,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Market Trends & Analytics,Avg. DOM,Tier 2,,"Display, Pro Forma, Comps",MLS,join,market_analytics,avg_dom,market / tract,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Market Trends & Analytics,Buyer's/Seller's Market,Tier 2,,"Display, Pro Forma, Comps",MLS,join,market_analytics,market_indicator,market / tract,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Market Trends & Analytics,Recently Sold Homes (market),Tier 2,,"Display, Pro Forma, Comps",MLS,join,market_analytics,recent_sold_market,market / tract,any_related_row,,Not started,,0.00,Market-level benchmark,0,494142,494142,Table not created yet
Property Media,Exterior Images,Tier 1,,Display,MLS,join,mls_media,exterior_images,listing_id,any_related_row,pilot_mls_ingest.py,Not started,,0.00,,0,494142,494142,Join via mls_media.exterior_images
Property Media,Interior Images,Tier 1,,Display,MLS,join,mls_media,interior_images,listing_id,any_related_row,pilot_mls_ingest.py,Not started,,0.00,,0,494142,494142,Join via mls_media.interior_images
Property Media,Street View,Tier 2,,Display,Google Street View API,join,parcel_media,street_view,lat/lon,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Property Media,3D Tour,Tier 3,,Display,Matterport,join,parcel_media,tour_3d,listing_id,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Neighbor Insight & Lifestyle,School - Name / Link,Tier 1,,"Query / Filter, Display",GreatSchools / NCES,join,parcel_schools,school_name,lat/lon or address,any_related_row,pilot_parcel_schools_ingest.py,Not started,,0.00,,0,494142,494142,Table not created yet
Neighbor Insight & Lifestyle,School - Distance,Tier 1,,"Query / Filter, Display",GreatSchools,join,parcel_schools,school_distance,lat/lon,any_related_row,pilot_parcel_schools_ingest.py,Not started,,0.00,,0,494142,494142,Table not created yet
Neighbor Insight & Lifestyle,School - Rating,Tier 1,,"Query / Filter, Display",GreatSchools,join,parcel_schools,school_rating,lat/lon,any_related_row,pilot_parcel_schools_ingest.py,Not started,,0.00,,0,494142,494142,Table not created yet
Neighbor Insight & Lifestyle,Safety / Crime,Tier 1,,"Query / Filter, Display",LexisNexis / CoreLogic,join,parcel_crime,crime_metrics,lat/lon or tract,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Neighbor Insight & Lifestyle,Accessibility - Walk Score,Tier 2,,"Query / Filter, Display",WalkScore,join,parcel_accessibility,walk_score,address / lat/lon,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Neighbor Insight & Lifestyle,Accessibility - Transit Score,Tier 2,,"Query / Filter, Display",WalkScore,join,parcel_accessibility,transit_score,address / lat/lon,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Neighbor Insight & Lifestyle,Accessibility - Bike Score,Tier 2,,"Query / Filter, Display",WalkScore,join,parcel_accessibility,bike_score,address / lat/lon,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Neighbor Insight & Lifestyle,Local Amenities,Tier 3,,"Query / Filter, Display",Foursquare / Google Places,join,parcel_amenities,amenities,lat/lon,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Ownership,Ownership,Tier 2,,"Query / Filter, Display, Due Diligence",Assessor / Recorder,join,parcel_ownership,owner_name,APN,any_related_row,pilot_parcel_attributes_ingest.py,Pilot,,0.00,GPKG owner field available,0,494142,494142,Table not created yet
Ownership,Years Owned,Tier 2,,"Query / Filter, Display, Due Diligence",Assessor / Recorder,join,parcel_ownership,years_owned,APN,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Ownership,Owner Mailing Address,Tier 2,,"Query / Filter, Display, Due Diligence",Assessor,join,parcel_ownership,mail_address,APN,any_related_row,pilot_parcel_attributes_ingest.py,Pilot,,0.00,,0,494142,494142,Table not created yet
Ownership,Distress Signals,Tier 2,,"Query / Filter, Display, Due Diligence",Assessor / Recorder,join,parcel_ownership,distress_signals,APN,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Due Diligence - Zoning,Zoning,Tier 1,Yes,"Query / Filter, Display, Due Diligence, Feasibility Study",Assessor / County Planning,column,public.unidata,zoning,APN + scity,step1_default,enrich_unidata_from_gpkg.py,Done,99.94,,,493832,310,494142,Step 1 field_missingness_classification
Due Diligence - Zoning,General Plan,Tier 1,Yes,"Display, Due Diligence, Feasibility Study",County Planning,column,parcel_zoning,general_plan,APN + scity,step1_default,pilot_parcel_zoning_ingest.py,Pilot,0.00,0.00,,0,494142,494142,Column fill via parcel_zoning.general_plan (1:1 join)
Due Diligence - Zoning,Floor Area Limit,Tier 1,Yes,"Display, Due Diligence, Feasibility Study",Assessor / County,column,parcel_zoning,floor_area_limit,APN + scity,step1_default,pilot_parcel_zoning_ingest.py,Pilot,0.00,0.00,,0,494142,494142,Column fill via parcel_zoning.floor_area_limit (1:1 join)
Due Diligence - Zoning,Height Limit,Tier 1,Yes,"Display, Due Diligence, Feasibility Study",Assessor / County,column,parcel_zoning,height_limit,APN + scity,step1_default,pilot_parcel_zoning_ingest.py,Pilot,0.00,0.00,,0,494142,494142,Column fill via parcel_zoning.height_limit (1:1 join)
Due Diligence - Zoning,Density,Tier 1,,"Display, Feasibility Study",Assessor / County,column,parcel_zoning,density,APN + scity,step1_default,pilot_parcel_zoning_ingest.py,Pilot,0.00,0.00,,0,494142,494142,Column fill via parcel_zoning.density (1:1 join)
Due Diligence - Zoning,Lot Coverage Limit,Tier 2,,"Query / Filter, Due Diligence, Feasibility Study",County Planning,column,parcel_zoning,lot_coverage_limit,APN + scity,step1_default,pilot_parcel_zoning_ingest.py,Not started,0.00,0.00,,0,494142,494142,Column fill via parcel_zoning.lot_coverage_limit (1:1 join)
Due Diligence - Zoning,FAR,Tier 2,,"Query / Filter, Due Diligence, Feasibility Study",County Planning,column,parcel_zoning,far,APN + scity,step1_default,pilot_parcel_zoning_ingest.py,Not started,0.00,0.00,,0,494142,494142,Column fill via parcel_zoning.far (1:1 join)
Due Diligence - Zoning,Parking,Tier 2,,"Display, Due Diligence, Feasibility Study",Assessor / County,column,parcel_zoning,parking,APN + scity,step1_default,pilot_parcel_zoning_ingest.py,Not started,0.00,0.00,,0,494142,494142,Column fill via parcel_zoning.parking (1:1 join)
Due Diligence - Zoning,SB9 Development,Tier 2,,"Display, Due Diligence, Feasibility Study",Assessor / County,column,parcel_zoning,sb9_eligible,APN + scity,step1_default,pilot_parcel_zoning_ingest.py,Not started,0.00,0.00,,0,494142,494142,Column fill via parcel_zoning.sb9_eligible (1:1 join)
Due Diligence - Environmental,Flood,Tier 1,Yes,"Query / Filter, Display, Due Diligence, Feasibility Study",FEMA,column,public.unidata,fldzone,APN + scity,step1_default,county GIS / ticket-04,Done,100.00,,,494142,0,494142,Step 1 field_missingness_classification
Due Diligence - Environmental,Fire,Tier 1,,"Query / Filter, Display, Due Diligence, Feasibility Study",State FHSZ,column,parcel_hazards,fire_zone,APN + scity,step1_default,pilot_fire_hazard_ingest.py,Pilot,0.00,0.00,,0,494142,494142,Column fill via parcel_hazards.fire_zone (1:1 join)
Due Diligence - Environmental,Earthquake,Tier 1,Yes,"Query / Filter, Due Diligence, Feasibility Study",USGS / County,column,public.unidata,(hazard flags),APN + scity,boolean_not_null,,Review semantics,,,No dedicated earthquake column,,,494142,No dedicated column — see fault/landslide/liquefaction
Due Diligence - Environmental,Fault,Tier 1,Yes,"Query / Filter, Due Diligence, Feasibility Study",USGS / County,column,public.unidata,alquist_fault,APN + scity,boolean_not_null,,Review semantics,100.00,,,494142,0,494142,Step 1 field_missingness_classification
Due Diligence - Environmental,Landslide,Tier 1,Yes,"Query / Filter, Due Diligence, Feasibility Study",USGS / County,column,public.unidata,landslide,APN + scity,boolean_not_null,,Review semantics,100.00,,,494142,0,494142,Step 1 field_missingness_classification
Due Diligence - Environmental,Liquefaction,Tier 1,Yes,"Query / Filter, Due Diligence, Feasibility Study",USGS / County,column,public.unidata,liquefaction,APN + scity,boolean_not_null,,Review semantics,100.00,,,494142,0,494142,Step 1 field_missingness_classification
Due Diligence - Environmental,Historic,Tier 2,Yes,"Query / Filter, Display, Due Diligence, Feasibility Study",County,column,parcel_hazards,historic,APN + scity,step1_default,pilot_parcel_hazards_ingest.py,Not started,0.00,0.00,,0,494142,494142,Column fill via parcel_hazards.historic (1:1 join)
Due Diligence - Environmental,Wetland,Tier 2,,"Query / Filter, Display, Due Diligence",NWI,column,parcel_hazards,wetland,APN + scity,step1_default,pilot_parcel_hazards_ingest.py,Not started,0.00,0.00,,0,494142,494142,Column fill via parcel_hazards.wetland (1:1 join)
Due Diligence - Environmental,Farmland,Tier 2,,"Query / Filter, Display, Due Diligence",USDA,column,parcel_hazards,farmland,APN + scity,step1_default,pilot_parcel_hazards_ingest.py,Not started,0.00,0.00,,0,494142,494142,Column fill via parcel_hazards.farmland (1:1 join)
Due Diligence - Environmental,Hazardous Waste,Tier 2,,"Query / Filter, Display, Due Diligence",EPA/County,column,parcel_hazards,hazwaste,APN + scity,step1_default,pilot_parcel_hazards_ingest.py,Not started,0.00,0.00,,0,494142,494142,Column fill via parcel_hazards.hazwaste (1:1 join)
Due Diligence - Environmental,fhszsra (SRA),Tier 1,,"Query / Filter, Due Diligence",State FHSZ,column,public.unidata,fhszsra,APN + scity,null_or_zero,,Blocked,2.43,,Product decision on NULL vs not-in-SRA,12001,482141,494142,Step 1 field_missingness_classification
Due Diligence - Public Record,Public Record,Tier 2,,"Display, Due Diligence, Feasibility Study",County Recorder,join,parcel_public_record,records,APN,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Due Diligence - Public Record,Census Demographics,Tier 2,,"Display, Due Diligence, Feasibility Study",US Census,join,parcel_demographics,census,tract / block group,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Due Diligence - Maps,Flood Map,Tier 2,,"Display, Due Diligence",FEMA,join,parcel_map_layers,flood_map,APN / geometry,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Due Diligence - Maps,Fire Map,Tier 2,,"Display, Due Diligence",State FHSZ,join,parcel_map_layers,fire_map,APN / geometry,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Due Diligence - Maps,GeoHazard Map,Tier 2,,"Display, Due Diligence",USGS,join,parcel_map_layers,geohazard_map,APN / geometry,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Due Diligence - Maps,Wetland Map,Tier 3,,"Display, Due Diligence",NWI,join,parcel_map_layers,wetland_map,APN / geometry,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Due Diligence - Maps,Farmland Map,Tier 3,,"Display, Due Diligence",USDA,join,parcel_map_layers,farmland_map,APN / geometry,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Due Diligence - Maps,Noise Map,Tier 3,,"Display, Due Diligence",NEM,join,parcel_map_layers,noise_map,APN / geometry,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Investment & Development,Loan Interest,Tier 1,,"Display, Feasibility Study, Pro Forma",AlphaX internal,derived,proforma_inputs,loan_interest,APN,derivation_succeeded,,Not started,,0.00,Not parcel-ingest,0,494142,494142,Table not created yet
Investment & Development,Cost Base,Tier 1,,"Display, Feasibility Study, Pro Forma",AlphaX internal,derived,proforma_inputs,cost_base,APN,derivation_succeeded,,Not started,,0.00,,0,494142,494142,Table not created yet
Investment & Development,Development Strategy,Tier 1,,"Query / Filter, Display, Feasibility Study, Pro Forma",AlphaX internal,derived,proforma_inputs,dev_strategy,APN,derivation_succeeded,,Not started,,0.00,,0,494142,494142,Table not created yet
Disclosure AI,Vendor Info,Tier 3,,Display,AlphaX,join,parcel_disclosure,vendor_info,APN,any_related_row,,Not started,,0.00,,0,494142,494142,Table not created yet
Parcel Geometry,Parcel polygon,Tier 1,Yes,Core geometry,County Parcels / GPKG,column,public.unidata,parcel,APN + scity,not_null,core ingest,Done,100.00,,,494142,0,494142,Step 1 field_missingness_classification
Parcel Geometry,Footprints,Tier 1,Yes,"Display, Feasibility",County Buildings 2D + Microsoft,column,public.unidata,footprints,APN + scity,array_nonempty,enrich_unidata_footprints.py,Done (May 2026),97.34,,~97.3% ceiling,481000,13142,494142,Step 1 field_missingness_classification
Parcel Geometry,Lat / Lon,Tier 1,Yes,Core location,Assessor / GPKG,column,public.unidata,lat,APN + scity,not_null,,Done,100.00,,Also lon column,494142,0,494142,Step 1 field_missingness_classification
Parcel Geometry,Situs city (scity),Tier 1,Yes,Core join key,County Parcels GeoJSON,column,public.unidata,scity,APN + scity,step1_default,enrich_unidata_from_parcels_geojson.py,Done (May 2026),100.00,,,494132,10,494142,Step 1 field_missingness_classification
Parcel Geometry,H3 index,Tier 1,,Spatial index,DERIVED from lat/lon,column,public.unidata,h3,APN + scity,null_or_blank,,Done,100.00,,,494142,0,494142,Step 1 field_missingness_classification
