column_name,taxonomy,non_null_pct,missing_pct,spatial_verdict,spatial_detail,city_verdict,city_detail,segment_verdict,segment_detail,zero_semantics,product_impact,examples_csv,examples_written,geojson_rel,grid_cells_used,rows_geocoded
parcelnumb,Core parcel fields,100.0,0.0,Relatively uniform,Across 317 cells: spread ≈ 0.0 pp; mean cell missing ≈ 0.00% (global 0.00%). Relative dispersion (CV) ≈ 0.00. Low baseline missingness — geographic variation is minor in absolute terms.,Broadly similar across cities,Worst: SAN JOSE (0.00% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.00% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 0.00% missing; footprint_proxy:fp_nonempty: 0.00% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 0.00% missing,N/A — non-numeric type.,Low — Low risk — core identifiers largely present.,outputs/missingness_step2/example_records/parcelnumb_missing_sample.csv,0,outputs/missingness_step2/spatial_cells/parcelnumb.geojson,317,494142
updated_at,Core parcel fields,100.0,0.0,Relatively uniform,Across 317 cells: spread ≈ 0.0 pp; mean cell missing ≈ 0.00% (global 0.00%). Relative dispersion (CV) ≈ 0.00. Low baseline missingness — geographic variation is minor in absolute terms.,Broadly similar across cities,Worst: SAN JOSE (0.00% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.00% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 0.00% missing; footprint_proxy:fp_nonempty: 0.00% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 0.00% missing,N/A — non-numeric type.,Low — Low risk — core identifiers largely present.,outputs/missingness_step2/example_records/updated_at_missing_sample.csv,0,outputs/missingness_step2/spatial_cells/updated_at.geojson,317,494142
address,Core parcel fields,99.6622,0.3378,Likely clustered / uneven,Across 317 cells: spread ≈ 11.3 pp; mean cell missing ≈ 0.41% (global 0.27%). Relative dispersion (CV) ≈ 2.17. Missingness varies strongly by location.,Some municipal variation,Worst: (NULL) (14.83% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.34% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 3.54% missing; footprint_proxy:fp_nonempty: 0.09% missing; sqft_proxy:sqft_nonzero: 0.03% missing; sqft_proxy:sqft_zero_or_null: 7.18% missing,N/A — non-numeric type.,Moderate — Low risk — core identifiers largely present.,outputs/missingness_step2/example_records/address_missing_sample.csv,25,outputs/missingness_step2/spatial_cells/address.geojson,317,494142
scity,Core parcel fields,99.6096,0.3904,Likely clustered / uneven,Across 317 cells: spread ≈ 14.7 pp; mean cell missing ≈ 0.80% (global 0.09%). Relative dispersion (CV) ≈ 2.92. Missingness varies strongly by location.,Associated with specific cities,Worst: (NULL) (100.00% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.39% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 4.56% missing; footprint_proxy:fp_nonempty: 0.06% missing; sqft_proxy:sqft_nonzero: 0.09% missing; sqft_proxy:sqft_zero_or_null: 7.16% missing,N/A — non-numeric type.,Moderate — Low risk — core identifiers largely present.,outputs/missingness_step2/example_records/scity_missing_sample.csv,25,outputs/missingness_step2/spatial_cells/scity.geojson,317,494142
alquist_fault,External join fields,100.0,0.0,Relatively uniform,Across 317 cells: spread ≈ 0.0 pp; mean cell missing ≈ 0.00% (global 0.00%). Relative dispersion (CV) ≈ 0.00. Low baseline missingness — geographic variation is minor in absolute terms.,Broadly similar across cities,Worst: SAN JOSE (0.00% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.00% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 0.00% missing; footprint_proxy:fp_nonempty: 0.00% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 0.00% missing,N/A — non-numeric type.,Low — NULL/false semantics matter for hazard and compliance messaging.,outputs/missingness_step2/example_records/alquist_fault_missing_sample.csv,0,outputs/missingness_step2/spatial_cells/alquist_fault.geojson,317,494142
landslide,External join fields,100.0,0.0,Relatively uniform,Across 317 cells: spread ≈ 0.0 pp; mean cell missing ≈ 0.00% (global 0.00%). Relative dispersion (CV) ≈ 0.00. Low baseline missingness — geographic variation is minor in absolute terms.,Broadly similar across cities,Worst: SAN JOSE (0.00% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.00% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 0.00% missing; footprint_proxy:fp_nonempty: 0.00% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 0.00% missing,N/A — non-numeric type.,Low — NULL/false semantics matter for hazard and compliance messaging.,outputs/missingness_step2/example_records/landslide_missing_sample.csv,0,outputs/missingness_step2/spatial_cells/landslide.geojson,317,494142
liquefaction,External join fields,100.0,0.0,Relatively uniform,Across 317 cells: spread ≈ 0.0 pp; mean cell missing ≈ 0.00% (global 0.00%). Relative dispersion (CV) ≈ 0.00. Low baseline missingness — geographic variation is minor in absolute terms.,Broadly similar across cities,Worst: SAN JOSE (0.00% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.00% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 0.00% missing; footprint_proxy:fp_nonempty: 0.00% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 0.00% missing,N/A — non-numeric type.,Low — NULL/false semantics matter for hazard and compliance messaging.,outputs/missingness_step2/example_records/liquefaction_missing_sample.csv,0,outputs/missingness_step2/spatial_cells/liquefaction.geojson,317,494142
fldzone,External join fields,99.999,0.001,Relatively uniform,Across 317 cells: spread ≈ 0.0 pp; mean cell missing ≈ 0.00% (global 0.00%). Relative dispersion (CV) ≈ 0.00. Low baseline missingness — geographic variation is minor in absolute terms.,Broadly similar across cities,Worst: (NULL) (0.10% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.00% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 0.01% missing; footprint_proxy:fp_nonempty: 0.00% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 0.02% missing,N/A — non-numeric type.,Low — NULL/false semantics matter for hazard and compliance messaging.,outputs/missingness_step2/example_records/fldzone_missing_sample.csv,5,outputs/missingness_step2/spatial_cells/fldzone.geojson,317,494142
fhszlra,External join fields,97.9158,2.0842,Likely clustered / uneven,Across 317 cells: spread ≈ 100.0 pp; mean cell missing ≈ 8.54% (global 1.07%). Relative dispersion (CV) ≈ 2.97. Missingness varies strongly by location.,Associated with specific cities,Worst: (NULL) (82.06% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 2.08% missing. (top cities by volume; ≥400 rows each.),Mild segment differences,footprint_proxy:fp_empty: 17.85% missing; footprint_proxy:fp_nonempty: 0.84% missing; sqft_proxy:sqft_nonzero: 1.41% missing; sqft_proxy:sqft_zero_or_null: 17.09% missing,Zeros are rare among non-nulls — likely literal zeros.,Low — NULL/false semantics matter for hazard and compliance messaging.,outputs/missingness_step2/example_records/fhszlra_missing_sample.csv,25,outputs/missingness_step2/spatial_cells/fhszlra.geojson,317,494142
fhszsra,External join fields,2.4287,97.5713,Likely clustered / uneven,Across 317 cells: spread ≈ 100.0 pp; mean cell missing ≈ 90.05% (global 98.66%). Relative dispersion (CV) ≈ 0.29. Missingness varies strongly by location.,Associated with specific cities,Worst: SUNNYVALE (100.00% missing). Best among sampled: (NULL) (15.81% missing). Global reference: 97.57% missing. (top cities by volume; ≥400 rows each.),Mild segment differences,footprint_proxy:fp_empty: 80.20% missing; footprint_proxy:fp_nonempty: 98.94% missing; sqft_proxy:sqft_nonzero: 98.32% missing; sqft_proxy:sqft_zero_or_null: 80.86% missing,Zeros are rare among non-nulls — likely literal zeros.,High — NULL/false semantics matter for hazard and compliance messaging.,outputs/missingness_step2/example_records/fhszsra_missing_sample.csv,25,outputs/missingness_step2/spatial_cells/fhszsra.geojson,317,494142
sqft,Footprint-related fields,95.7227,4.2773,Likely clustered / uneven,Across 317 cells: spread ≈ 37.6 pp; mean cell missing ≈ 6.76% (global 3.62%). Relative dispersion (CV) ≈ 1.14. Missingness varies strongly by location.,Associated with specific cities,Worst: (NULL) (78.43% missing). Best among sampled: MONTE SERENO (0.82% missing). Global reference: 4.28% missing. (top cities by volume; ≥400 rows each.),Associated with parcel proxy segment,Largest gap 100.0 pp (sqft_proxy:sqft_zero_or_null vs sqft_proxy:sqft_nonzero). footprint_proxy:fp_empty: 29.88% missing; footprint_proxy:fp_nonempty: 2.26% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 100.00% missing,4.3% of non-null values are zero — generally plausible literals; spot-check edge cases.,"Low — Expected partial coverage — affects enrichment UX, not parcel existence.",outputs/missingness_step2/example_records/sqft_missing_sample.csv,25,outputs/missingness_step2/spatial_cells/sqft.geojson,317,494142
building_area,Footprint-related fields,93.1532,6.8468,Likely clustered / uneven,Across 317 cells: spread ≈ 59.3 pp; mean cell missing ≈ 12.41% (global 5.88%). Relative dispersion (CV) ≈ 1.08. Missingness varies strongly by location.,Associated with specific cities,Worst: (NULL) (98.96% missing). Best among sampled: MONTE SERENO (3.75% missing). Global reference: 6.85% missing. (top cities by volume; ≥400 rows each.),Associated with parcel proxy segment,Largest gap 66.2 pp (sqft_proxy:sqft_zero_or_null vs sqft_proxy:sqft_nonzero). footprint_proxy:fp_empty: 41.07% missing; footprint_proxy:fp_nonempty: 4.15% missing; sqft_proxy:sqft_nonzero: 4.01% missing; sqft_proxy:sqft_zero_or_null: 70.25% missing,6.8% of non-null values are zero — generally plausible literals; spot-check edge cases.,"Low — Expected partial coverage — affects enrichment UX, not parcel existence.",outputs/missingness_step2/example_records/building_area_missing_sample.csv,25,outputs/missingness_step2/spatial_cells/building_area.geojson,317,494142
footprints,Footprint-related fields,92.6839,7.3161,Likely clustered / uneven,Across 317 cells: spread ≈ 99.9 pp; mean cell missing ≈ 14.25% (global 6.54%). Relative dispersion (CV) ≈ 1.56. Missingness varies strongly by location.,Associated with specific cities,Worst: (NULL) (85.43% missing). Best among sampled: PALO ALTO (2.04% missing). Global reference: 7.32% missing. (top cities by volume; ≥400 rows each.),Associated with parcel proxy segment,Largest gap 100.0 pp (footprint_proxy:fp_empty vs footprint_proxy:fp_nonempty). footprint_proxy:fp_empty: 100.00% missing; footprint_proxy:fp_nonempty: 0.00% missing; sqft_proxy:sqft_nonzero: 5.36% missing; sqft_proxy:sqft_zero_or_null: 51.11% missing,N/A — non-numeric type.,"Low — Expected partial coverage — affects enrichment UX, not parcel existence.",outputs/missingness_step2/example_records/footprints_missing_sample.csv,25,outputs/missingness_step2/spatial_cells/footprints.geojson,317,494142
